Country	VType	Date	Total
Portugal	Tasa de variación anual	2016-09	14,76
Portugal	Tasa de variación anual	2016-08	7,88
Portugal	Tasa de variación anual	2016-07	19,84
Portugal	Tasa de variación anual	2016-06	24,18
Portugal	Tasa de variación anual	2016-05	1,48
Portugal	Tasa de variación anual	2016-04	20,50
Portugal	Tasa de variación anual	2016-03	22,02
Portugal	Tasa de variación anual	2016-02	10,53
Portugal	Tasa de variación anual	2016-01	13,33
Portugal	Tasa de variación anual	2015-12	4,43
Portugal	Tasa de variación anual	2015-11	26,93
Portugal	Tasa de variación anual	2015-10	8,92
Portugal	Acumulado en lo que va de año	2020-09	655.293
Portugal	Acumulado en lo que va de año	2020-08	585.326
Portugal	Acumulado en lo que va de año	2020-07	472.559
Portugal	Acumulado en lo que va de año	2020-06	.
Portugal	Acumulado en lo que va de año	2020-05	376.053
Portugal	Acumulado en lo que va de año	2020-04	376.053
Portugal	Acumulado en lo que va de año	2020-03	376.053
Portugal	Acumulado en lo que va de año	2020-02	306.354
Portugal	Acumulado en lo que va de año	2020-01	130.405
Portugal	Acumulado en lo que va de año	2019-12	2.428.790
Portugal	Acumulado en lo que va de año	2019-11	2.292.495
Portugal	Acumulado en lo que va de año	2019-10	2.169.145
Portugal	Acumulado en lo que va de año	2019-09	1.994.367
Portugal	Acumulado en lo que va de año	2019-08	1.738.141
Portugal	Acumulado en lo que va de año	2019-07	1.348.448
Portugal	Acumulado en lo que va de año	2019-06	1.091.946
Portugal	Acumulado en lo que va de año	2019-05	862.390
Portugal	Acumulado en lo que va de año	2019-04	702.913
Portugal	Acumulado en lo que va de año	2019-03	471.700
Portugal	Acumulado en lo que va de año	2019-02	286.979
Portugal	Acumulado en lo que va de año	2019-01	141.690
Portugal	Acumulado en lo que va de año	2018-12	2.344.322
Portugal	Acumulado en lo que va de año	2018-11	2.195.152
Portugal	Acumulado en lo que va de año	2018-10	2.033.959
Portugal	Acumulado en lo que va de año	2018-09	1.848.613
Portugal	Acumulado en lo que va de año	2018-08	1.608.918
Portugal	Acumulado en lo que va de año	2018-07	1.233.658
Portugal	Acumulado en lo que va de año	2018-06	969.926
Portugal	Acumulado en lo que va de año	2018-05	772.553
Portugal	Acumulado en lo que va de año	2018-04	610.819
Portugal	Acumulado en lo que va de año	2018-03	409.827
Portugal	Acumulado en lo que va de año	2018-02	259.545
Portugal	Acumulado en lo que va de año	2018-01	116.255
Portugal	Acumulado en lo que va de año	2017-12	2.137.880
Portugal	Acumulado en lo que va de año	2017-11	1.995.548
Portugal	Acumulado en lo que va de año	2017-10	1.860.458
Portugal	Acumulado en lo que va de año	2017-09	1.708.463
Portugal	Acumulado en lo que va de año	2017-08	1.496.291
Portugal	Acumulado en lo que va de año	2017-07	1.150.828
Portugal	Acumulado en lo que va de año	2017-06	880.960
Portugal	Acumulado en lo que va de año	2017-05	687.482
Portugal	Acumulado en lo que va de año	2017-04	554.988
Portugal	Acumulado en lo que va de año	2017-03	339.358
Portugal	Acumulado en lo que va de año	2017-02	222.957
Portugal	Acumulado en lo que va de año	2017-01	99.950
Portugal	Acumulado en lo que va de año	2016-12	1.996.164
Portugal	Acumulado en lo que va de año	2016-11	1.874.432
Portugal	Acumulado en lo que va de año	2016-10	1.755.189
Portugal	Acumulado en lo que va de año	2016-09	1.580.965
Portugal	Acumulado en lo que va de año	2016-08	1.371.173
Portugal	Acumulado en lo que va de año	2016-07	1.062.812
Portugal	Acumulado en lo que va de año	2016-06	825.399
Portugal	Acumulado en lo que va de año	2016-05	627.324
Portugal	Acumulado en lo que va de año	2016-04	489.765
Portugal	Acumulado en lo que va de año	2016-03	344.226
Portugal	Acumulado en lo que va de año	2016-02	200.565
Portugal	Acumulado en lo que va de año	2016-01	96.123
Portugal	Acumulado en lo que va de año	2015-12	""
Portugal	Acumulado en lo que va de año	2015-11	""
Portugal	Acumulado en lo que va de año	2015-10	""
Portugal	Tasa de variación acumulada	2020-09	-67,14
Portugal	Tasa de variación acumulada	2020-08	-66,32
Portugal	Tasa de variación acumulada	2020-07	-64,96
Portugal	Tasa de variación acumulada	2020-06	.
Portugal	Tasa de variación acumulada	2020-05	-56,39
Portugal	Tasa de variación acumulada	2020-04	-46,50
Portugal	Tasa de variación acumulada	2020-03	-20,28
Portugal	Tasa de variación acumulada	2020-02	6,75
Portugal	Tasa de variación acumulada	2020-01	-7,96
Portugal	Tasa de variación acumulada	2019-12	3,60
Portugal	Tasa de variación acumulada	2019-11	4,43
Portugal	Tasa de variación acumulada	2019-10	6,65
Portugal	Tasa de variación acumulada	2019-09	7,88
Portugal	Tasa de variación acumulada	2019-08	8,03
Portugal	Tasa de variación acumulada	2019-07	9,30
Portugal	Tasa de variación acumulada	2019-06	12,58
Portugal	Tasa de variación acumulada	2019-05	11,63
Portugal	Tasa de variación acumulada	2019-04	15,08
Portugal	Tasa de variación acumulada	2019-03	15,10
Portugal	Tasa de variación acumulada	2019-02	10,57
Portugal	Tasa de variación acumulada	2019-01	21,88
Portugal	Tasa de variación acumulada	2018-12	9,66
Portugal	Tasa de variación acumulada	2018-11	10,00
Portugal	Tasa de variación acumulada	2018-10	9,33
Portugal	Tasa de variación acumulada	2018-09	8,20
Portugal	Tasa de variación acumulada	2018-08	7,53
Portugal	Tasa de variación acumulada	2018-07	7,20
Portugal	Tasa de variación acumulada	2018-06	10,10
Portugal	Tasa de variación acumulada	2018-05	12,37
Portugal	Tasa de variación acumulada	2018-04	10,06
Portugal	Tasa de variación acumulada	2018-03	20,77
Portugal	Tasa de variación acumulada	2018-02	16,41
Portugal	Tasa de variación acumulada	2018-01	16,31
Portugal	Tasa de variación acumulada	2017-12	7,10
Portugal	Tasa de variación acumulada	2017-11	6,46
Portugal	Tasa de variación acumulada	2017-10	6,00
Portugal	Tasa de variación acumulada	2017-09	8,06
Portugal	Tasa de variación acumulada	2017-08	9,12
Portugal	Tasa de variación acumulada	2017-07	8,28
Portugal	Tasa de variación acumulada	2017-06	6,73
Portugal	Tasa de variación acumulada	2017-05	9,59
Portugal	Tasa de variación acumulada	2017-04	13,32
Portugal	Tasa de variación acumulada	2017-03	-1,41
Portugal	Tasa de variación acumulada	2017-02	11,16
Portugal	Tasa de variación acumulada	2017-01	3,98
Portugal	Tasa de variación acumulada	2016-12	15,90
Portugal	Tasa de variación acumulada	2016-11	16,64
Portugal	Tasa de variación acumulada	2016-10	15,75
Portugal	Tasa de variación acumulada	2016-09	14,59
Portugal	Tasa de variación acumulada	2016-08	14,57
Portugal	Tasa de variación acumulada	2016-07	16,67
Portugal	Tasa de variación acumulada	2016-06	15,78
Portugal	Tasa de variación acumulada	2016-05	13,36
Portugal	Tasa de variación acumulada	2016-04	17,22
Portugal	Tasa de variación acumulada	2016-03	15,88
Portugal	Tasa de variación acumulada	2016-02	11,86
Portugal	Tasa de variación acumulada	2016-01	13,33
Portugal	Tasa de variación acumulada	2015-12	""
Portugal	Tasa de variación acumulada	2015-11	""
Portugal	Tasa de variación acumulada	2015-10	""
Reino Unido	Dato base	2020-09	161.899
Reino Unido	Dato base	2020-08	256.528
Reino Unido	Dato base	2020-07	377.886
Reino Unido	Dato base	2020-06	8.473
Reino Unido	Dato base	2020-05	0
Reino Unido	Dato base	2020-04	0
Reino Unido	Dato base	2020-03	397.117
Reino Unido	Dato base	2020-02	907.321
Reino Unido	Dato base	2020-01	718.248
Reino Unido	Dato base	2019-12	786.044
Reino Unido	Dato base	2019-11	872.392
Reino Unido	Dato base	2019-10	1.643.636
Reino Unido	Dato base	2019-09	2.094.377
Reino Unido	Dato base	2019-08	2.172.298
Reino Unido	Dato base	2019-07	2.154.808
Reino Unido	Dato base	2019-06	2.074.006
Reino Unido	Dato base	2019-05	1.950.529
Reino Unido	Dato base	2019-04	1.461.671
Reino Unido	Dato base	2019-03	1.109.683
Reino Unido	Dato base	2019-02	885.676
Reino Unido	Dato base	2019-01	807.362
Reino Unido	Dato base	2018-12	856.447
Reino Unido	Dato base	2018-11	934.572
Reino Unido	Dato base	2018-10	1.732.143
Reino Unido	Dato base	2018-09	2.110.577
Reino Unido	Dato base	2018-08	2.248.604
Reino Unido	Dato base	2018-07	2.214.662
Reino Unido	Dato base	2018-06	2.173.824
Reino Unido	Dato base	2018-05	1.983.454
Reino Unido	Dato base	2018-04	1.422.435
Reino Unido	Dato base	2018-03	1.184.251
Reino Unido	Dato base	2018-02	863.704
Reino Unido	Dato base	2018-01	799.284
Reino Unido	Dato base	2017-12	812.153
Reino Unido	Dato base	2017-11	911.187
Reino Unido	Dato base	2017-10	1.658.268
Reino Unido	Dato base	2017-09	2.173.773
Reino Unido	Dato base	2017-08	2.323.782
Reino Unido	Dato base	2017-07	2.327.431
Reino Unido	Dato base	2017-06	2.185.425
Reino Unido	Dato base	2017-05	2.066.225
Reino Unido	Dato base	2017-04	1.507.935
Reino Unido	Dato base	2017-03	1.123.087
Reino Unido	Dato base	2017-02	919.566
Reino Unido	Dato base	2017-01	797.942
Reino Unido	Dato base	2016-12	880.670
Reino Unido	Dato base	2016-11	866.957
Reino Unido	Dato base	2016-10	1.654.697
Reino Unido	Dato base	2016-09	1.995.183
Reino Unido	Dato base	2016-08	2.248.819
Reino Unido	Dato base	2016-07	2.166.552
Reino Unido	Dato base	2016-06	2.088.747
Reino Unido	Dato base	2016-05	1.794.232
Reino Unido	Dato base	2016-04	1.423.065
Reino Unido	Dato base	2016-03	1.058.312
Reino Unido	Dato base	2016-02	805.843
Reino Unido	Dato base	2016-01	692.291
Reino Unido	Dato base	2015-12	758.202
Reino Unido	Dato base	2015-11	770.874
Reino Unido	Dato base	2015-10	1.563.317
Reino Unido	Tasa de variación anual	2020-09	-92,27
Reino Unido	Tasa de variación anual	2020-08	-88,19
Reino Unido	Tasa de variación anual	2020-07	-82,46
Reino Unido	Tasa de variación anual	2020-06	-99,59
Reino Unido	Tasa de variación anual	2020-05	-100,00
Reino Unido	Tasa de variación anual	2020-04	-100,00
Reino Unido	Tasa de variación anual	2020-03	-64,21
Reino Unido	Tasa de variación anual	2020-02	2,44
Reino Unido	Tasa de variación anual	2020-01	-11,04
Reino Unido	Tasa de variación anual	2019-12	-8,22
Reino Unido	Tasa de variación anual	2019-11	-6,65
Reino Unido	Tasa de variación anual	2019-10	-5,11
Reino Unido	Tasa de variación anual	2019-09	-0,77
Reino Unido	Tasa de variación anual	2019-08	-3,39
Reino Unido	Tasa de variación anual	2019-07	-2,70
Reino Unido	Tasa de variación anual	2019-06	-4,59
Reino Unido	Tasa de variación anual	2019-05	-1,66
Reino Unido	Tasa de variación anual	2019-04	2,76
Reino Unido	Tasa de variación anual	2019-03	-6,30
Reino Unido	Tasa de variación anual	2019-02	2,54
Reino Unido	Tasa de variación anual	2019-01	1,01
Reino Unido	Tasa de variación anual	2018-12	5,45
Reino Unido	Tasa de variación anual	2018-11	2,57
Reino Unido	Tasa de variación anual	2018-10	4,45
Reino Unido	Tasa de variación anual	2018-09	-2,91
Reino Unido	Tasa de variación anual	2018-08	-3,24
Reino Unido	Tasa de variación anual	2018-07	-4,85
Reino Unido	Tasa de variación anual	2018-06	-0,53
Reino Unido	Tasa de variación anual	2018-05	-4,01
Reino Unido	Tasa de variación anual	2018-04	-5,67
Reino Unido	Tasa de variación anual	2018-03	5,45
Reino Unido	Tasa de variación anual	2018-02	-6,07
Reino Unido	Tasa de variación anual	2018-01	0,17
Reino Unido	Tasa de variación anual	2017-12	-7,78
Reino Unido	Tasa de variación anual	2017-11	5,10
Reino Unido	Tasa de variación anual	2017-10	0,22
Reino Unido	Tasa de variación anual	2017-09	8,95
Reino Unido	Tasa de variación anual	2017-08	3,33
Reino Unido	Tasa de variación anual	2017-07	7,43
Reino Unido	Tasa de variación anual	2017-06	4,63
Reino Unido	Tasa de variación anual	2017-05	15,16
Reino Unido	Tasa de variación anual	2017-04	5,96
Reino Unido	Tasa de variación anual	2017-03	6,12
Reino Unido	Tasa de variación anual	2017-02	14,11
Reino Unido	Tasa de variación anual	2017-01	15,26
Reino Unido	Tasa de variación anual	2016-12	16,15
Reino Unido	Tasa de variación anual	2016-11	12,46
Reino Unido	Tasa de variación anual	2016-10	5,85
Reino Unido	Tasa de variación anual	2016-09	10,87
Reino Unido	Tasa de variación anual	2016-08	3,00
Reino Unido	Tasa de variación anual	2016-07	10,83
Reino Unido	Tasa de variación anual	2016-06	16,81
Reino Unido	Tasa de variación anual	2016-05	10,91
Reino Unido	Tasa de variación anual	2016-04	21,39
Reino Unido	Tasa de variación anual	2016-03	22,36
Reino Unido	Tasa de variación anual	2016-02	18,44
Reino Unido	Tasa de variación anual	2016-01	16,88
Reino Unido	Tasa de variación anual	2015-12	20,15
Reino Unido	Tasa de variación anual	2015-11	13,72
Reino Unido	Tasa de variación anual	2015-10	8,30
Reino Unido	Acumulado en lo que va de año	2020-09	2.827.471
Reino Unido	Acumulado en lo que va de año	2020-08	2.665.571
Reino Unido	Acumulado en lo que va de año	2020-07	2.409.044
Reino Unido	Acumulado en lo que va de año	2020-06	2.031.158
Reino Unido	Acumulado en lo que va de año	2020-05	2.022.685
Reino Unido	Acumulado en lo que va de año	2020-04	2.022.685
Reino Unido	Acumulado en lo que va de año	2020-03	2.022.685
Reino Unido	Acumulado en lo que va de año	2020-02	1.625.569
Reino Unido	Acumulado en lo que va de año	2020-01	718.248
Reino Unido	Acumulado en lo que va de año	2019-12	18.012.484
Reino Unido	Acumulado en lo que va de año	2019-11	17.226.441
Reino Unido	Acumulado en lo que va de año	2019-10	16.354.048
Reino Unido	Acumulado en lo que va de año	2019-09	14.710.412
Reino Unido	Acumulado en lo que va de año	2019-08	12.616.035
Reino Unido	Acumulado en lo que va de año	2019-07	10.443.736
Reino Unido	Acumulado en lo que va de año	2019-06	8.288.928
Reino Unido	Acumulado en lo que va de año	2019-05	6.214.922
Reino Unido	Acumulado en lo que va de año	2019-04	4.264.392
Reino Unido	Acumulado en lo que va de año	2019-03	2.802.721
Reino Unido	Acumulado en lo que va de año	2019-02	1.693.038
Reino Unido	Acumulado en lo que va de año	2019-01	807.362
Reino Unido	Acumulado en lo que va de año	2018-12	18.523.957
Reino Unido	Acumulado en lo que va de año	2018-11	17.667.510
Reino Unido	Acumulado en lo que va de año	2018-10	16.732.938
Reino Unido	Acumulado en lo que va de año	2018-09	15.000.796
Reino Unido	Acumulado en lo que va de año	2018-08	12.890.219
Reino Unido	Acumulado en lo que va de año	2018-07	10.641.615
Reino Unido	Acumulado en lo que va de año	2018-06	8.426.953
Reino Unido	Acumulado en lo que va de año	2018-05	6.253.128
Reino Unido	Acumulado en lo que va de año	2018-04	4.269.675
Reino Unido	Acumulado en lo que va de año	2018-03	2.847.239
Reino Unido	Acumulado en lo que va de año	2018-02	1.662.989
Reino Unido	Acumulado en lo que va de año	2018-01	799.284
Reino Unido	Acumulado en lo que va de año	2017-12	18.806.776
Reino Unido	Acumulado en lo que va de año	2017-11	17.994.622
Reino Unido	Acumulado en lo que va de año	2017-10	17.083.435
Reino Unido	Acumulado en lo que va de año	2017-09	15.425.167
Reino Unido	Acumulado en lo que va de año	2017-08	13.251.394
Reino Unido	Acumulado en lo que va de año	2017-07	10.927.611
Reino Unido	Acumulado en lo que va de año	2017-06	8.600.180
Reino Unido	Acumulado en lo que va de año	2017-05	6.414.755
Reino Unido	Acumulado en lo que va de año	2017-04	4.348.530
Reino Unido	Acumulado en lo que va de año	2017-03	2.840.595
Reino Unido	Acumulado en lo que va de año	2017-02	1.717.508
Reino Unido	Acumulado en lo que va de año	2017-01	797.942
Reino Unido	Acumulado en lo que va de año	2016-12	17.675.367
Reino Unido	Acumulado en lo que va de año	2016-11	16.794.697
Reino Unido	Acumulado en lo que va de año	2016-10	15.927.741
Reino Unido	Acumulado en lo que va de año	2016-09	14.273.044
Reino Unido	Acumulado en lo que va de año	2016-08	12.277.861
Reino Unido	Acumulado en lo que va de año	2016-07	10.029.042
Reino Unido	Acumulado en lo que va de año	2016-06	7.862.490
Reino Unido	Acumulado en lo que va de año	2016-05	5.773.743
Reino Unido	Acumulado en lo que va de año	2016-04	3.979.512
Reino Unido	Acumulado en lo que va de año	2016-03	2.556.447
Reino Unido	Acumulado en lo que va de año	2016-02	1.498.134
Reino Unido	Acumulado en lo que va de año	2016-01	692.291
Reino Unido	Acumulado en lo que va de año	2015-12	""
Reino Unido	Acumulado en lo que va de año	2015-11	""
Reino Unido	Acumulado en lo que va de año	2015-10	""
Reino Unido	Tasa de variación acumulada	2020-09	-80,78
Reino Unido	Tasa de variación acumulada	2020-08	-78,87
Reino Unido	Tasa de variación acumulada	2020-07	-76,93
Reino Unido	Tasa de variación acumulada	2020-06	-75,50
Reino Unido	Tasa de variación acumulada	2020-05	-67,45
Reino Unido	Tasa de variación acumulada	2020-04	-52,57
Reino Unido	Tasa de variación acumulada	2020-03	-27,83
Reino Unido	Tasa de variación acumulada	2020-02	-3,99
Reino Unido	Tasa de variación acumulada	2020-01	-11,04
Reino Unido	Tasa de variación acumulada	2019-12	-2,76
Reino Unido	Tasa de variación acumulada	2019-11	-2,50
Reino Unido	Tasa de variación acumulada	2019-10	-2,26
Reino Unido	Tasa de variación acumulada	2019-09	-1,94
Reino Unido	Tasa de variación acumulada	2019-08	-2,13
Reino Unido	Tasa de variación acumulada	2019-07	-1,86
Reino Unido	Tasa de variación acumulada	2019-06	-1,64
Reino Unido	Tasa de variación acumulada	2019-05	-0,61
Reino Unido	Tasa de variación acumulada	2019-04	-0,12
Reino Unido	Tasa de variación acumulada	2019-03	-1,56
Reino Unido	Tasa de variación acumulada	2019-02	1,81
Reino Unido	Tasa de variación acumulada	2019-01	1,01
Reino Unido	Tasa de variación acumulada	2018-12	-1,50
Reino Unido	Tasa de variación acumulada	2018-11	-1,82
Reino Unido	Tasa de variación acumulada	2018-10	-2,05
Reino Unido	Tasa de variación acumulada	2018-09	-2,75
Reino Unido	Tasa de variación acumulada	2018-08	-2,73
Reino Unido	Tasa de variación acumulada	2018-07	-2,62
Reino Unido	Tasa de variación acumulada	2018-06	-2,01
Reino Unido	Tasa de variación acumulada	2018-05	-2,52
Reino Unido	Tasa de variación acumulada	2018-04	-1,81
Reino Unido	Tasa de variación acumulada	2018-03	0,23
Reino Unido	Tasa de variación acumulada	2018-02	-3,17
Reino Unido	Tasa de variación acumulada	2018-01	0,17
Reino Unido	Tasa de variación acumulada	2017-12	6,40
Reino Unido	Tasa de variación acumulada	2017-11	7,14
Reino Unido	Tasa de variación acumulada	2017-10	7,26
Reino Unido	Tasa de variación acumulada	2017-09	8,07
Reino Unido	Tasa de variación acumulada	2017-08	7,93
Reino Unido	Tasa de variación acumulada	2017-07	8,96
Reino Unido	Tasa de variación acumulada	2017-06	9,38
Reino Unido	Tasa de variación acumulada	2017-05	11,10
Reino Unido	Tasa de variación acumulada	2017-04	9,27
Reino Unido	Tasa de variación acumulada	2017-03	11,11
Reino Unido	Tasa de variación acumulada	2017-02	14,64
Reino Unido	Tasa de variación acumulada	2017-01	15,26
Reino Unido	Tasa de variación acumulada	2016-12	12,25
Reino Unido	Tasa de variación acumulada	2016-11	12,06
Reino Unido	Tasa de variación acumulada	2016-10	12,03
Reino Unido	Tasa de variación acumulada	2016-09	12,80
Reino Unido	Tasa de variación acumulada	2016-08	13,12
Reino Unido	Tasa de variación acumulada	2016-07	15,67
Reino Unido	Tasa de variación acumulada	2016-06	17,07
Reino Unido	Tasa de variación acumulada	2016-05	17,17
Reino Unido	Tasa de variación acumulada	2016-04	20,23
Reino Unido	Tasa de variación acumulada	2016-03	19,59
Reino Unido	Tasa de variación acumulada	2016-02	17,71
Reino Unido	Tasa de variación acumulada	2016-01	16,88
Reino Unido	Tasa de variación acumulada	2015-12	""
Reino Unido	Tasa de variación acumulada	2015-11	""
Reino Unido	Tasa de variación acumulada	2015-10	""
Rusia	Dato base	2020-09	.
Rusia	Dato base	2020-08	.
Rusia	Dato base	2020-07	.
Rusia	Dato base	2020-06	.
Rusia	Dato base	2020-05	0
Rusia	Dato base	2020-04	0
Rusia	Dato base	2020-03	21.386
Rusia	Dato base	2020-02	46.502
Rusia	Dato base	2020-01	64.262
Rusia	Dato base	2019-12	52.703
Rusia	Dato base	2019-11	53.368
Rusia	Dato base	2019-10	104.958
Rusia	Dato base	2019-09	165.380
Rusia	Dato base	2019-08	177.019
Rusia	Dato base	2019-07	183.441
Rusia	Dato base	2019-06	182.043
Rusia	Dato base	2019-05	123.984
Rusia	Dato base	2019-04	83.726
Rusia	Dato base	2019-03	70.851
Rusia	Dato base	2019-02	49.956
Rusia	Dato base	2019-01	66.650
Rusia	Dato base	2018-12	60.591
Rusia	Dato base	2018-11	53.863
Rusia	Dato base	2018-10	90.668
Rusia	Dato base	2018-09	164.321
Rusia	Dato base	2018-08	176.076
Rusia	Dato base	2018-07	174.914
Rusia	Dato base	2018-06	170.552
Rusia	Dato base	2018-05	91.104
Rusia	Dato base	2018-04	73.575
Rusia	Dato base	2018-03	55.937
Rusia	Dato base	2018-02	47.935
Rusia	Dato base	2018-01	67.994
Rusia	Dato base	2017-12	51.567
Rusia	Dato base	2017-11	51.893
Rusia	Dato base	2017-10	80.793
Rusia	Dato base	2017-09	151.099
Rusia	Dato base	2017-08	171.799
Rusia	Dato base	2017-07	185.668
Rusia	Dato base	2017-06	150.092
Rusia	Dato base	2017-05	82.499
Rusia	Dato base	2017-04	67.226
Rusia	Dato base	2017-03	49.303
Rusia	Dato base	2017-02	44.640
Rusia	Dato base	2017-01	63.477
Rusia	Dato base	2016-12	45.102
Rusia	Dato base	2016-11	41.379
Rusia	Dato base	2016-10	78.009
Rusia	Dato base	2016-09	129.200
Rusia	Dato base	2016-08	160.554
Rusia	Dato base	2016-07	150.320
Rusia	Dato base	2016-06	131.166
Rusia	Dato base	2016-05	78.032
Rusia	Dato base	2016-04	54.845
Rusia	Dato base	2016-03	42.001
Rusia	Dato base	2016-02	34.455
Rusia	Dato base	2016-01	59.514
Rusia	Dato base	2015-12	40.739
Rusia	Dato base	2015-11	50.384
Rusia	Dato base	2015-10	62.414
Rusia	Tasa de variación anual	2020-09	.
Rusia	Tasa de variación anual	2020-08	.
Rusia	Tasa de variación anual	2020-07	.
Rusia	Tasa de variación anual	2020-06	.
Rusia	Tasa de variación anual	2020-05	-100,00
Rusia	Tasa de variación anual	2020-04	-100,00
Rusia	Tasa de variación anual	2020-03	-69,82
Rusia	Tasa de variación anual	2020-02	-6,91
Rusia	Tasa de variación anual	2020-01	-3,58
Rusia	Tasa de variación anual	2019-12	-13,02
Rusia	Tasa de variación anual	2019-11	-0,92
Rusia	Tasa de variación anual	2019-10	15,76
Rusia	Tasa de variación anual	2019-09	0,64
Rusia	Tasa de variación anual	2019-08	0,54
Rusia	Tasa de variación anual	2019-07	4,88
Rusia	Tasa de variación anual	2019-06	6,74
Rusia	Tasa de variación anual	2019-05	36,09
Rusia	Tasa de variación anual	2019-04	13,80
Rusia	Tasa de variación anual	2019-03	26,66
Rusia	Tasa de variación anual	2019-02	4,22
Rusia	Tasa de variación anual	2019-01	-1,98
Rusia	Tasa de variación anual	2018-12	17,50
Rusia	Tasa de variación anual	2018-11	3,80
Rusia	Tasa de variación anual	2018-10	12,22
Rusia	Tasa de variación anual	2018-09	8,75
Rusia	Tasa de variación anual	2018-08	2,49
Rusia	Tasa de variación anual	2018-07	-5,79
Rusia	Tasa de variación anual	2018-06	13,63
Rusia	Tasa de variación anual	2018-05	10,43
Rusia	Tasa de variación anual	2018-04	9,44
Rusia	Tasa de variación anual	2018-03	13,45
Rusia	Tasa de variación anual	2018-02	7,38
Rusia	Tasa de variación anual	2018-01	7,12
Rusia	Tasa de variación anual	2017-12	14,33
Rusia	Tasa de variación anual	2017-11	25,41
Rusia	Tasa de variación anual	2017-10	3,57
Rusia	Tasa de variación anual	2017-09	16,95
Rusia	Tasa de variación anual	2017-08	7,00
Rusia	Tasa de variación anual	2017-07	23,51
Rusia	Tasa de variación anual	2017-06	14,43
Rusia	Tasa de variación anual	2017-05	5,72
Rusia	Tasa de variación anual	2017-04	22,57
Rusia	Tasa de variación anual	2017-03	17,39
Rusia	Tasa de variación anual	2017-02	29,56
Rusia	Tasa de variación anual	2017-01	6,66
Rusia	Tasa de variación anual	2016-12	10,71
Rusia	Tasa de variación anual	2016-11	-17,87
Rusia	Tasa de variación anual	2016-10	24,99
Rusia	Tasa de variación anual	2016-09	-0,04
Rusia	Tasa de variación anual	2016-08	-1,42
Rusia	Tasa de variación anual	2016-07	5,42
Rusia	Tasa de variación anual	2016-06	-2,61
Rusia	Tasa de variación anual	2016-05	-5,41
Rusia	Tasa de variación anual	2016-04	7,84
Rusia	Tasa de variación anual	2016-03	2,25
Rusia	Tasa de variación anual	2016-02	19,23
Rusia	Tasa de variación anual	2016-01	-1,54
Rusia	Tasa de variación anual	2015-12	9,15
Rusia	Tasa de variación anual	2015-11	7,95
Rusia	Tasa de variación anual	2015-10	-16,62
Rusia	Acumulado en lo que va de año	2020-09	.
Rusia	Acumulado en lo que va de año	2020-08	.
Rusia	Acumulado en lo que va de año	2020-07	.
Rusia	Acumulado en lo que va de año	2020-06	.
Rusia	Acumulado en lo que va de año	2020-05	132.150
Rusia	Acumulado en lo que va de año	2020-04	132.150
Rusia	Acumulado en lo que va de año	2020-03	132.150
Rusia	Acumulado en lo que va de año	2020-02	110.764
Rusia	Acumulado en lo que va de año	2020-01	64.262
Rusia	Acumulado en lo que va de año	2019-12	1.314.078
Rusia	Acumulado en lo que va de año	2019-11	1.261.376
Rusia	Acumulado en lo que va de año	2019-10	1.208.008
Rusia	Acumulado en lo que va de año	2019-09	1.103.050
Rusia	Acumulado en lo que va de año	2019-08	937.670
Rusia	Acumulado en lo que va de año	2019-07	760.651
Rusia	Acumulado en lo que va de año	2019-06	577.210
Rusia	Acumulado en lo que va de año	2019-05	395.168
Rusia	Acumulado en lo que va de año	2019-04	271.183
Rusia	Acumulado en lo que va de año	2019-03	187.457
Rusia	Acumulado en lo que va de año	2019-02	116.607
Rusia	Acumulado en lo que va de año	2019-01	66.650
Rusia	Acumulado en lo que va de año	2018-12	1.227.530
Rusia	Acumulado en lo que va de año	2018-11	1.166.939
Rusia	Acumulado en lo que va de año	2018-10	1.113.076
Rusia	Acumulado en lo que va de año	2018-09	1.022.408
Rusia	Acumulado en lo que va de año	2018-08	858.087
Rusia	Acumulado en lo que va de año	2018-07	682.011
Rusia	Acumulado en lo que va de año	2018-06	507.097
Rusia	Acumulado en lo que va de año	2018-05	336.545
Rusia	Acumulado en lo que va de año	2018-04	245.441
Rusia	Acumulado en lo que va de año	2018-03	171.866
Rusia	Acumulado en lo que va de año	2018-02	115.929
Rusia	Acumulado en lo que va de año	2018-01	67.994
Rusia	Acumulado en lo que va de año	2017-12	1.150.055
Rusia	Acumulado en lo que va de año	2017-11	1.098.489
Rusia	Acumulado en lo que va de año	2017-10	1.046.595
Rusia	Acumulado en lo que va de año	2017-09	965.802
Rusia	Acumulado en lo que va de año	2017-08	814.703
Rusia	Acumulado en lo que va de año	2017-07	642.904
Rusia	Acumulado en lo que va de año	2017-06	457.237
Rusia	Acumulado en lo que va de año	2017-05	307.145
Rusia	Acumulado en lo que va de año	2017-04	224.646
Rusia	Acumulado en lo que va de año	2017-03	157.420
Rusia	Acumulado en lo que va de año	2017-02	108.117
Rusia	Acumulado en lo que va de año	2017-01	63.477
Rusia	Acumulado en lo que va de año	2016-12	1.004.577
Rusia	Acumulado en lo que va de año	2016-11	959.475
Rusia	Acumulado en lo que va de año	2016-10	918.096
Rusia	Acumulado en lo que va de año	2016-09	840.087
Rusia	Acumulado en lo que va de año	2016-08	710.887
Rusia	Acumulado en lo que va de año	2016-07	550.333
Rusia	Acumulado en lo que va de año	2016-06	400.013
Rusia	Acumulado en lo que va de año	2016-05	268.847
