
DATE																	OCUPADOS	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 16,9	
2012_anual		
   1.1. SECTOR TURISTICO														117,9	
   1.1.1. (55) Servicios de alojamiento													 37,4	
   1.1.2. (56) Servicios de comidas y bebidas	 											 42,4	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 20,1	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 18,0	
2012T4		
   1.1. SECTOR TURISTICO														107,1	
   1.1.1. (55) Servicios de alojamiento													 30,7	
   1.1.2. (56) Servicios de comidas y bebidas												 37,7	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 19,6	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 19,2	
2012T3		
   1.1. SECTOR TURISTICO														151,1	
   1.1.1. (55) Servicios de alojamiento													 55,0	
   1.1.2. (56) Servicios de comidas y bebidas												 51,6	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 22,8	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 21,6	
2012T2		
   1.1. SECTOR TURISTICO														130,7	
   1.1.1. (55) Servicios de alojamiento													 44,3	
   1.1.2. (56) Servicios de comidas y bebidas												 47,5	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 21,3	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,... 	 17,6	
2012T1		
   1.1. SECTOR TURISTICO														 82,6	
   1.1.1. (55) Servicios de alojamiento													 19,6	
   1.1.2. (56) Servicios de comidas y bebidas												 32,7	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 16,7	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 13,7	
2011_anual		
   1.1. SECTOR TURISTICO														117,1	
   1.1.1. (55) Servicios de alojamiento													 36,9	
   1.1.2. (56) Servicios de comidas y bebidas												 40,5	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 19,3	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 20,4	
2011T4		
   1.1. SECTOR TURISTICO														100,9	
   1.1.1. (55) Servicios de alojamiento													 27,5	
   1.1.2. (56) Servicios de comidas y bebidas												 35,9	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,8	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 18,7	
2011T3		
   1.1. SECTOR TURISTICO														148,4	
   1.1.1. (55) Servicios de alojamiento													 54,2	
   1.1.2. (56) Servicios de comidas y bebidas												 48,7	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 22,7	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,... 	 22,8	
2011T2		
   1.1. SECTOR TURISTICO														130,6	
   1.1.1. (55) Servicios de alojamiento													 46,2	
   1.1.2. (56) Servicios de comidas y bebidas												 40,9	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 20,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 22,6	
2011T1		
   1.1. SECTOR TURISTICO														 88,4	
   1.1.1. (55) Servicios de alojamiento													 19,6	
   1.1.2. (56) Servicios de comidas y bebidas												 36,5	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 14,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 17,4	
2010_anual		
   1.1. SECTOR TURISTICO														112,3	
   1.1.1. (55) Servicios de alojamiento													 39,3	
   1.1.2. (56) Servicios de comidas y bebidas												 36,1	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 17,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,... 	 19,0	
2010T4		
   1.1. SECTOR TURISTICO														100,6	
   1.1.1. (55) Servicios de alojamiento													 27,6	
   1.1.2. (56) Servicios de comidas y bebidas												 35,3	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 18,7	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 19,0	
2010T3		
   1.1. SECTOR TURISTICO														142,4	
   1.1.1. (55) Servicios de alojamiento													 55,5	
   1.1.2. (56) Servicios de comidas y bebidas												 43,3	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 22,2	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 21,5	
2010T2		
   1.1. SECTOR TURISTICO														120,1	
   1.1.1. (55) Servicios de alojamiento													 47,5	
   1.1.2. (56) Servicios de comidas y bebidas												 36,3	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 17,0	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 19,3	
2010T1		
   1.1. SECTOR TURISTICO														 86,0	
   1.1.1. (55) Servicios de alojamiento													 26,7	
   1.1.2. (56) Servicios de comidas y bebidas												 29,3	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 13,5	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 16,4	
2009_anual		
   1.1. SECTOR TURISTICO														114,5	
   1.1.1. (55) Servicios de alojamiento													 42,1	
   1.1.2. (56) Servicios de comidas y bebidas												 38,1	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 17,1	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,... 	 17,2	
2009T4		
   1.1. SECTOR TURISTICO														106,4	
   1.1.1. (55) Servicios de alojamiento													 37,4	
   1.1.2. (56) Servicios de comidas y bebidas												 34,6	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 15,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 18,5	
2009T3		
   1.1. SECTOR TURISTICO														141,5	
   1.1.1. (55) Servicios de alojamiento													 59,1	
   1.1.2. (56) Servicios de comidas y bebidas												 43,3	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 19,8	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 19,3	
2009T2		
   1.1. SECTOR TURISTICO														122,0	
   1.1.1. (55) Servicios de alojamiento													 47,0	
   1.1.2. (56) Servicios de comidas y bebidas												 41,7	
   1.1.3. (491, 493, 501, 503, 511, 522) Transporte de pasajeros									 16,9	
   1.1.4. Otras actividades turisticas: Agencias de viaje, alquiler de vehiculos, actividades culturales, actividades deportivas,...	 16,4	
2009T1		
